Attributes,Close,High,Low,Open,Volume
Symbols,TREX.US,TREX.US,TREX.US,TREX.US,TREX.US
Date,,,,,
2014-04-17,9.4375,9.499,9.034,9.095,1407968
2014-04-21,9.681,9.742,9.345,9.461,2254560
2014-04-22,9.855,9.882,9.61,9.686,1488616
2014-04-23,9.994,10.075,9.762,9.8,2704640
2014-04-24,10.015,10.125,9.821,10.058,1856088
2014-04-25,9.719,9.972,9.621,9.934,2788632
2014-04-28,9.735,9.875,9.496,9.76,1833584
2014-04-29,9.815,9.89,9.761,9.84,2097992
2014-04-30,9.815,9.924,9.672,9.75,1458248
2014-05-01,9.902,10.012,9.702,9.798,1442856
2014-05-02,9.926,10.126,9.86,9.935,4104096
2014-05-05,8.951,9.5,8.625,9.0,14225536
2014-05-06,8.844,9.119,8.744,9.0625,10153944
2014-05-07,8.574,8.856,8.1325,8.856,7808656
2014-05-08,8.365,8.915,8.22,8.915,2852792
2014-05-09,8.435,8.49,8.1725,8.2975,2520276
2014-05-12,8.585,8.7025,8.37,8.4725,2503372
2014-05-13,8.5975,8.7275,8.46,8.55,1791728
2014-05-14,7.985,8.5175,7.9825,8.5175,2978768
2014-05-15,7.6675,8.0125,7.4075,7.9225,3976500
2014-05-16,7.69,7.795,7.5925,7.6975,1926068
2014-05-19,7.685,7.7175,7.5425,7.68,1797252
2014-05-20,7.6725,7.8175,7.5425,7.6875,2204392
2014-05-21,7.78,7.85,7.6975,7.725,1320784
2014-05-22,7.9525,7.9675,7.7275,7.82,1178948
2014-05-23,8.14,8.15,7.9075,7.91,1542972
2014-05-27,8.1275,8.28,8.02,8.185,1928224
2014-05-28,7.7375,8.085,7.715,8.0825,1664700
2014-05-29,7.775,7.85,7.7025,7.7875,1858092
2014-05-30,7.7275,7.7975,7.665,7.735,1967388
2014-06-02,7.75,7.7825,7.68,7.72,1755712
2014-06-03,7.7575,7.765,7.6375,7.74,2110036
2014-06-04,7.8375,7.87,7.725,7.725,1663840
2014-06-05,7.8425,8.02,7.785,7.845,1486672
2014-06-06,8.1775,8.205,7.8125,7.8375,2114232
2014-06-09,8.4575,8.475,8.1525,8.1525,1645104
2014-06-10,8.2925,8.4525,8.11,8.415,1008800
2014-06-11,7.7825,8.2275,7.74,8.2275,2223652
2014-06-12,7.7925,7.865,7.6825,7.7875,2064464
2014-06-13,7.69,7.8,7.6875,7.8,1316212
2014-06-16,7.67,7.8175,7.5425,7.74,3079176
2014-06-17,7.5725,7.6925,7.51,7.6425,2677060
2014-06-18,7.59,7.5975,7.385,7.5975,3729900
2014-06-19,7.5275,7.625,7.435,7.6075,2297512
2014-06-20,7.3525,7.55,7.2275,7.535,7605900
2014-06-23,7.1975,7.4725,7.115,7.37,4119560
2014-06-24,7.14,7.31,7.1075,7.17,2488908
2014-06-25,7.205,7.2225,7.065,7.1025,2377424
2014-06-26,7.3825,7.4925,7.1175,7.2175,2500408
2014-06-27,7.4975,7.51,7.3075,7.36,2361156
2014-06-30,7.205,7.4275,7.14,7.4025,3561556
2014-07-01,7.245,7.395,7.2075,7.2075,2181776
2014-07-02,7.3925,7.4125,7.17,7.2425,1999600
2014-07-03,7.52,7.555,7.425,7.425,894436
2014-07-07,7.385,7.5075,7.17,7.4825,2251376
2014-07-08,7.1,7.35,7.01,7.34,1892472
2014-07-09,6.9475,7.2125,6.9375,7.115,1037672
2014-07-10,6.7675,6.8075,6.285,6.735,8644864
2014-07-11,6.8025,7.0,6.71,6.775,1991104
2014-07-14,7.0,7.0225,6.835,6.8675,1413336
2014-07-15,6.79,7.05,6.7675,7.0,925380
2014-07-16,6.8375,6.91,6.76,6.8475,880052
2014-07-17,6.61,6.77,6.58,6.755,1249512
2014-07-18,6.675,6.6925,6.5775,6.61,2044676
2014-07-21,6.7675,6.7975,6.62,6.6225,1386612
2014-07-22,7.125,7.58,7.1175,7.47,2907080
2014-07-23,7.1825,7.24,7.01,7.1025,1103740
2014-07-24,7.1375,7.2275,7.0825,7.175,1256576
2014-07-25,7.125,7.14,7.055,7.12,1014528
2014-07-28,6.925,7.1575,6.905,7.1075,1017396
2014-07-29,7.02,7.0825,6.9325,6.9575,1050884
2014-07-30,7.15,7.1525,7.025,7.0725,1436460
2014-07-31,7.0375,7.11,6.92,7.025,1586596
